case_id,activity,timestamp,resource,document,detail,source,due_date,customer,customer_country,salesperson,warehouse,order_amount,currency,products
S00001,Quotation created,2025-09-01T12:38:17+00:00,Sophie Lambert,S00001,,history,,Café des Arts Mons,Belgium,Sophie Lambert,Brussels DC,826.00,EUR,Cup Lids x1000; Oat Milk Barista 12x1L; Vanilla Syrup 1L
S00001,Quotation sent,2025-09-01T13:56:32+00:00,Sophie Lambert,S00001,,history,,Café des Arts Mons,Belgium,Sophie Lambert,Brussels DC,826.00,EUR,Cup Lids x1000; Oat Milk Barista 12x1L; Vanilla Syrup 1L
S00001,Order confirmed,2025-09-02T06:16:55+00:00,Sophie Lambert,S00001,,history,,Café des Arts Mons,Belgium,Sophie Lambert,Brussels DC,826.00,EUR,Cup Lids x1000; Oat Milk Barista 12x1L; Vanilla Syrup 1L
S00001,Goods shipped,2025-09-03T09:51:32+00:00,Marc Dubois,BRU/OUT/00001,,history,,Café des Arts Mons,Belgium,Sophie Lambert,Brussels DC,826.00,EUR,Cup Lids x1000; Oat Milk Barista 12x1L; Vanilla Syrup 1L
S00001,Invoice posted,2025-09-04T08:18:20+00:00,Julie Martin,INV/2025/00001,,history,2025-10-04,Café des Arts Mons,Belgium,Sophie Lambert,Brussels DC,826.00,EUR,Cup Lids x1000; Oat Milk Barista 12x1L; Vanilla Syrup 1L
S00001,Payment received,2025-09-22T06:48:27+00:00,Julie Martin,INV/2025/00001,,history,,Café des Arts Mons,Belgium,Sophie Lambert,Brussels DC,826.00,EUR,Cup Lids x1000; Oat Milk Barista 12x1L; Vanilla Syrup 1L
S00002,Quotation created,2025-09-01T14:43:46+00:00,Tom Peeters,S00002,,history,,Bistro Flagey Corner,Belgium,Tom Peeters,Brussels DC,564.00,EUR,Earl Grey Tea 500g; Espresso Beans Brazil 1kg; Espresso Beans Ethiopia 1kg
S00002,Order confirmed,2025-09-02T06:42:58+00:00,Tom Peeters,S00002,,history,,Bistro Flagey Corner,Belgium,Tom Peeters,Brussels DC,564.00,EUR,Earl Grey Tea 500g; Espresso Beans Brazil 1kg; Espresso Beans Ethiopia 1kg
S00002,Order changed after confirmation,2025-09-03T06:26:20+00:00,Tom Peeters,S00002,amount 552.00 -> 564.00,history,,Bistro Flagey Corner,Belgium,Tom Peeters,Brussels DC,564.00,EUR,Earl Grey Tea 500g; Espresso Beans Brazil 1kg; Espresso Beans Ethiopia 1kg
S00002,Goods shipped,2025-09-04T06:46:57+00:00,Marc Dubois,BRU/OUT/00002,,history,,Bistro Flagey Corner,Belgium,Tom Peeters,Brussels DC,564.00,EUR,Earl Grey Tea 500g; Espresso Beans Brazil 1kg; Espresso Beans Ethiopia 1kg
